country,country_code,cuisine_uuid,profile_uuid,recipe_uuid,post_uuid,title,slug,summary,description,ingredients,instructions,prep_time_minutes,cook_time_minutes,servings,difficulty_level,image_url,approach_id,source_url
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","146e4a13-6433-4ade-9e35-f823ce7348bd","dcd5a701-8daf-4859-aa57-8ab9182d0a32","Italian Meatloaf with Marinara Sauce","australia-italian-meatloaf-with-marinara-sauce","My Italian meatloaf is made extra juicy by soaking bread in grated onion instead of using breadcrumbs. The seasonings for the meatloaf are the same as what is used for homemade Italian sausages, so this really tastes like an Italian meatloaf! And the sauce is made extra tasty by adding the loaf p...","My Italian meatloaf is made extra juicy by soaking bread in grated onion instead of using breadcrumbs. The seasonings for the meatloaf are the same as what is used for homemade Italian sausages, so this really tastes like an Italian meatloaf! And the sauce is made extra tasty by adding the loaf pan juices and cooking the meatloaf IN the sauce for part of the time.","1 1/2 cups diced red bell pepper / capsicum ((1 large))|1 tbsp olive oil|2 cups stale white bread (, crusts removed, roughly diced (about 3 slices))|1  small onion|2 tbsp cream ((or milk))|13 oz / 400 g   ground pork ((mince))|1.6lb / 800 g    ground beef ((mince))|2  eggs|2 1/2 tsp fennel seeds|3 tsp paprika ((sweet or smoked))|1 3/4 tsp salt|Pepper|1 tbsp olive oil|2  garlic cloves (, minced)|1/2  onion (, finely chopped (brown, white, yellow))|1.4 lb / 700 g   tomato passata or crushed tinned tomatoes ((Note 1))|3/4 cup water|2 tsp dried Mixed Italian Herbs|1 - 3 tsp red pepper flakes ((optional))|Salt and pepper","Preheat oven to 180C/350F. Spray a 28cm/11"" loaf pan, then line with parchment / baking paper, leaving overhang (Note 2).|Heat oil over high heat. Add capsicum, leave for 1 minute without stirring so it starts to char (burn) then stir and continue cooking to char it more (about 2 minutes in total). Remove and set aside.|Place bread in a large bowl. Grate onion into the bowl, using a normal box cutter (Note 3). Add cream, then use your hands to squidge the mixture together so the bread is completely soaked and starts to disintegrate.|Add remaining meatloaf ingredients, including capsicum. Use your hands to mix it together until JUST combined. Do not over mix otherwise it will become dense.|Press into the loaf pan (Note 4). Drizzle with olive oil then bake for 30 minutes. Meanwhile, make the Sauce.|Take the meatloaf out of the oven. Carefully lift the meatloaf out of the loaf pan (using the paper overhang) onto a work surface. Then transfer the meatloaf into the skillet with the Sauce.|Pour juices in the loaf pan into the skillet. Return to the oven for a further 30 to 40 minutes, or until cooked to your liking.|Take it out of the oven and let it rest for 5 minutes before slicing. Serve the meatloaf with the Sauce, garnished with parmesan if desired.|I like to serve this with mashed potatoes but it is also lovely with pasta.|Heat oil in a ovenproof skillet over medium heat. Add onion and garlic and cook for 3 minutes until translucent.|Add remaining ingredients. Bring to a simmer and cook for 5 minutes on the stove, adjusting salt and pepper to taste.|Take it off the stove. Follow the steps above to place the meatloaf in and bake it.",15,60,6,"medium","https://www.recipetineats.com/tachyon/2015/12/Italian-Meatloaf_2.jpg","b0000000-0000-0000-0000-000000000001","https://www.recipetineats.com/italian-meatloaf-with-marinara-sauce/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","c2de60db-3c3a-4cf8-aad7-52945e07d48e","a67facea-3aa7-448e-9c63-4a10dfb5f58e","Caramel Slice","australia-caramel-slice","Recipe video above. An easy Caramel Slice recipe that delivers as promised - a creamy caramel filling that sets perfectly (no more runny caramel!) and chooclate that doesn&#039;t crack when you cut into it!","Recipe video above. An easy Caramel Slice recipe that delivers as promised - a creamy caramel filling that sets perfectly (no more runny caramel!) and chooclate that doesn&#039;t crack when you cut into it!","1 cup  flour, (plain/all purpose)|1/2 cup  brown sugar (, loosely packed)|1/2 cup  desiccated coconut ((US: sweetened finely shredded coconut, Note 1))|125g / 4.5oz   unsalted butter (, melted)|125g / 4.5oz  unsalted butter (, roughly chopped)|1/2 cup (80g)  brown sugar (, loosely packed)|1 tsp vanilla extract ((or essence))|395g / 14oz  sweetened condensed milk ((1 can, 300ml) (Note 1b))|200g / 7oz  dark or milk melting chocolate  ((US: semi-sweet chocolate chips))|1 tbsp vegetable oil","Preheat oven to 180°C/350°F (fan 160°C)|Grease and line a 28x 18cm (lamington pan) / 7&quot; x 11&quot; rectangle pan with baking/parchment paper (Note 2). Have overhang for ease of removal.|Mix together Base ingredients and press into a pan (I use an egg flip)|Bake for 15 minutes until the surface is golden. Cool in fridge if you have time (Note 3).|Lower oven to oven to 160°C/320°F (fan 140°C)|Place butter, sugar and vanilla in a saucepan over medium low heat. When the butter is melted, whisk to combine with sugar, then just leave it until it comes to a simmer.|When bubbles appear, add condensed milk. Whisk constantly for 5 minutes (Note 4), until you start getting some big slow bubbles on the base.|Once bubbles start appearing, whisk for 1 minute, then pour onto Base. Tilt pan to spread evenly.|Bake for 12 minutes. Don&#039;t worry if you get splotchy brown bits (this happens with ovens that don&#039;t distribute heat evenly).|Cool on counter for 20 minutes then refrigerate 30 minutes - bottom of pan should be warm but surface cool (not cold) to touch. (Note 5)|Place chocolate and oil in a microwave proof bowl. Microwave in 30 second bursts, stirring in between, until chocolate is fully melted (takes me 4 x 30 sec).|Pour over caramel, spread with spatula. Then gently shake pan to make the surface completely flat.|Refrigerate 1 hour or until set. Remove from fridge and leave out for 5 minutes to take chill out of chocolate slightly. Then cut into bars or squares to serve!",15,40,12,"medium","https://www.recipetineats.com/tachyon/2016/04/Caramel-Slice_2-1.jpg","b0000000-0000-0000-0000-000000000002","https://www.recipetineats.com/caramel-slice/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","406be899-8f88-4e6f-8ae6-451044b995ee","d903b7af-46e2-4e65-8675-431d56d402ee","Japanese Salmon with Mirin and Soy Sauce","australia-japanese-salmon-with-mirin-and-soy-sauce","This is a classic, simple, everyday way of cooking fish with an amazing flavour that is being made in millions of Japanese households every day. With only 3 ingredients in the marinade (and no chopping!), it takes all of 30 seconds to prepare. Be careful to ensure you cook it over medium heat and...","This is a classic, simple, everyday way of cooking fish with an amazing flavour that is being made in millions of Japanese households every day. With only 3 ingredients in the marinade (and no chopping!), it takes all of 30 seconds to prepare. Be careful to ensure you cook it over medium heat and no higher - because of the sugar in the mirin, if you cook it on too high a heat the sugar will burn before the inside has been cooked.","2  salmon fillets ((5 oz / 150 g each))|1 tbsp soy sauce|3 tbsp mirin|1 tbsp sake|1/2 tbsp oil","Combine all ingredients except the oil in a ziplock bag, remove as much air as possible and marinade overnight (or minimum 3 hours).|Heat 1/2 tbsp oil in a non stick pan over medium heat.|Add salmon skin side down, cook for 2 to 3 minutes until crispy. Check the skin to ensure it isn't cooking too quickly - if it is, then turn down the heat and/or remove the pan from the stove briefly to allow the temperature to decrease.|Drizzle over remaining marinade in the ziplock bag over the flesh side. Flip and cook the flesh side for 2 minutes, or to your liking. I like salmon medium rare so the inside is very moist and just cooked.|Rest for a couple of minutes, remembering that the salmon will continue to cook while resting, then serve.",1,6,2,"easy","https://www.recipetineats.com/tachyon/2014/07/Salmon-Soy-Mirin.jpg","b0000000-0000-0000-0000-000000000003","https://www.recipetineats.com/japanese-salmon-mirin-soy-sauce/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","a6cbe62b-4a87-442e-8a3d-190f1027356e","a1623f3c-4d13-49f3-b23e-720e7e2bd3da","Chicken Shawarma (Middle Eastern)","australia-chicken-shawarma-middle-eastern","Recipe video above. The smell when this is cooking is outrageous! The marinade is very quick to prepare and the chicken can be frozen in the marinade, then defrosted prior to cooking. Best cooked on the outdoor grill / BBQ, but I usually make it on the stove. Serve with Yogurt Sauce (provided) or...","Recipe video above. The smell when this is cooking is outrageous! The marinade is very quick to prepare and the chicken can be frozen in the marinade, then defrosted prior to cooking. Best cooked on the outdoor grill / BBQ, but I usually make it on the stove. Serve with Yogurt Sauce (provided) or the Tahini sauce in this recipe. Add a simple salad and flatbread laid out on a large platter, then let everyone make their own wraps!","1 kg / 2 lb  chicken thigh fillets (, skinless and boneless (Note 3))|1  large garlic clove (, minced (or 2 small cloves))|1 tbsp ground coriander|1 tbsp ground cumin|1 tbsp ground cardamon|1 tsp ground cayenne pepper ((reduce to 1/2 tsp to make it not spicy))|2 tsp smoked paprika|2 tsp salt|Black pepper|2 tbsp lemon juice|3 tbsp olive oil|1 cup Greek yoghurt|1 clove garlic (, crushed)|1 tsp cumin|Squeeze of lemon juice|Salt and pepper|4 - 5 flatbreads ((Lebanese or pita bread orhomemade soft flatbreads))|Sliced lettuce ((cos or iceberg))|Tomato slices|Red onion (, finely sliced)|Cheese (, shredded (optional))|Hot sauce of choice ((optional))","Marinade chicken - Combine the marinade ingredients in a large ziplock bag. Add the chicken, seal, the massage from the outside with your hands to make sure each piece is coated. Marinate 24 hours (minimum 3 hours).|Yogurt Sauce - Combine the Yogurt Sauce ingredients in a bowl and mix. Cover and put in the fridge until required (it will last for 3 days in the fridge).|Preheat stove or BBQ - Heat a large non-stick skillet with 1 tablespoon over medium high heat, or lightly brush a BBQ hotplate/grills with oil and heat to medium high. (See notes for baking)|Cook chicken - Place chicken in the skillet or on the grill and cook the first side for 4 to 5 minutes until nicely charred. Turn and cook the other side for 3 to 4 minutes (the 2nd side takes less time).|Rest - Remove chicken from the grill and cover loosely with foil. Set aside to rest for 5 minutes.|Slice chicken and pile onto platter alongside flatbreads, Salad and the Yoghurt Sauce (or dairy free Tahini sauce from this recipe).|To make a wrap, get a piece of flatbread and smear with Yoghurt Sauce. Top with a bit of lettuce and tomato and Chicken Shawarma. Roll up and enjoy!",10,10,4,"easy","https://www.recipetineats.com/tachyon/2022/02/Chicken-Shawarma-Wrap_2-SQ.jpg","b0000000-0000-0000-0000-000000000004","https://www.recipetineats.com/chicken-sharwama-middle-eastern/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","3209c234-7ff0-4e45-96ea-798d83fb150c","93cade80-1dea-41e6-bdc9-824c6bc3b802","Foolproof Poached Chicken Noodle Soup","australia-foolproof-poached-chicken-noodle-soup","This recipe uses a foolproof method of poaching chicken breast so you'll never, ever overcook it. The soup stock is a refreshingly light and the flavour is enhanced by poaching the chicken in the same liquid. A perfect super fast, low maintenance mid week meal!","This recipe uses a foolproof method of poaching chicken breast so you'll never, ever overcook it. The soup stock is a refreshingly light and the flavour is enhanced by poaching the chicken in the same liquid. A perfect super fast, low maintenance mid week meal!","1  chicken breast ((up to 300g/10 oz))|3  bok choys ((or 4 small ones))|1 cup bean sprouts|5 oz / 150 g   fresh egg noodles|2 cups / 16 oz / 500 mls   chicken stock|1 cup water|1 1/2 tbsp soy sauce|2 tsp sugar|1 1/2 tbsp chinese cooking wine ((or sub with 2 tsp sherry or sake (rice wine)))|2 tsp ginger (, minced)|2  garlic cloves (, minced)|1  star anise|1  scallion/shallot (, light green and green part only, sliced)|Fried Asian shallots","Combine Soup Stock ingredients in a medium saucepan large enough to hold the 2 chicken breasts side by side (without being crammed in). Bring to boil, taste and adjust if necessary.|Add chicken to soup, bring back to boil. Remove from heat and put aside covered for 20 - 25 mins. Don't worry if you leave it for longer, it won't over cook.|When the chicken is poached, remove from the soup and slice into 1/4"" / 0.5cm slices.|Cook noodles according to the packet instructions - usually for fresh noodles soaking them in boiling water is sufficient.|Cut the bok choy leaves from the stems, cut the stems vertically into 1/3"" / 1cm wide sticks.|Bring the soup (without the poached chicken in it) back to boil, add the bok choy stems, boil for 30 seconds then remove from heat, add the bok choy leaves and bean sprouts.|To assemble place noodles in bowl, top with bok choy, chicken and spoon over soup.|Garnish with scallions/shallots and fried shallots.",5,30,2,"medium","https://www.recipetineats.com/tachyon/2014/06/Untitled-1-1.jpg","b0000000-0000-0000-0000-000000000005","https://www.recipetineats.com/foolproof-poached-chicken-noodle-soup/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","a2363f68-cac4-4358-9e59-4942a316eae5","b49bb8d7-7d6a-4d81-b94c-b9e51d9dca7b","Pot Roasted Coconut Chicken","australia-pot-roasted-coconut-chicken","Chicken in a fragrant coconut broth with an intensity of flavour that belies the few ingredients this recipe uses! The broth is so good that you will want to drink it straight. And the chicken stays beautifully moist by roasting it in the broth/stock. This is a clean-eating recipe that you would ...","Chicken in a fragrant coconut broth with an intensity of flavour that belies the few ingredients this recipe uses! The broth is so good that you will want to drink it straight. And the chicken stays beautifully moist by roasting it in the broth/stock. This is a clean-eating recipe that you would never think of as ""clean""!","2  long red chilies ((Note 1))|1 tsp freshly grated ginger|2  garlic cloves (, crushed)|1 tbsp coconut oil ((or substitute with olive oil))|1/2 tsp salt|Black pepper|1 cup finely chopped cilantro/coriander leaves|3 lb /1.6kg   whole chicken (, preferably organic/free range)|2 cups / 500 ml  chicken broth/stock ((preferably reduced salt))|1  lemongrass (, white part only, bruised (Note 2))|2  kaffir lime leaves ((Note 3))|14 oz /400ml   light coconut milk ((1 can))|0.8 lb / 400g   baby potatoes (, scrubbed clean)|1  lime|2 tsp coconut sugar ((or substitute with brown sugar))|1 tbsp fish sauce","Preheat oven to 390F/200C.|Finely mince ONE red chili (~1 tbsp). Combine chili, ginger, garlic, oil, 1/2 cup cilantro/coriander, salt and pepper in a small bowl and set aside.|Rinse and pat the chicken dry (inside and out) with paper towels. Starting from the neck end of the chicken, use a teaspoon upside down to loosen the skin from the meat across the surface of the chicken (i.e. not the legs or wings). Just go as far as you can.|Spoon the cilantro/mixture between the meat and the skin near neck. Use the spoon to spread it a bit, then to finish it off, use your finger/hands ON the skin to spread the mixture as far and evenly as you can. Doesn't need to be perfect! :)|Place the chicken stock/broth, kaffir lime leaves, lemongrass and the whole red chili into a dutch oven or baking tray. (Note 4)|Place the chicken in the broth, cover with a lid and roast for 45 minutes. Remove the lid, add the coconut milk and potatoes then roast for a further 30 minutes, or until juices run clear when pierced.|Remove the chicken from the broth and cover loosely with foil to rest for 5 minutes.|Skim excess fat off the surface of the broth - I usually get about 5 tbsp of fat off.|Add the juice from the lime, sugar and fish sauce. Stir until the sugar is dissolved. Add remaining cilantro/coriander.|Serve the chicken with the broth in a pouring jug, or cut up the chicken and serve it in the broth.",15,75,5,"hard","https://www.recipetineats.com/tachyon/2015/11/Fragrant-Coconut-Pot-Roasted-Chicken_1.jpg","b0000000-0000-0000-0000-000000000006","https://www.recipetineats.com/fragrant-coconut-pot-roasted-chicken-feel-good-food-cookbook-by-valli-little/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","b4c25940-cb90-424d-a4f4-5653d276bee4","54a89e48-d9e6-41c2-9bdf-3d6672883b04","Scallion Pancakes (Shallot Pancakes)","australia-scallion-pancakes-shallot-pancakes","My favourite Chinese restaurant treat, made at home! So easy, and unbelievably good. The roll out dough will keep in the fridge for a couple of days, or you can freeze them, then pop them in the pan when you are ready to cook (you don't even need to defrost them). They are best eaten fresh off th...","My favourite Chinese restaurant treat, made at home! So easy, and unbelievably good. The roll out dough will keep in the fridge for a couple of days, or you can freeze them, then pop them in the pan when you are ready to cook (you don't even need to defrost them). They are best eaten fresh off the stove!","2 1/2 cups plain flour|1 tsp salt|1 cup water|2 cups chopped shallots (aka green onions, shallots) ((half a large bunch))|Oil spray ((any is fine, except olive oil))|4 tbsp vegetable or canola oil|Soy sauce|Black vinegar ((or substitute with white vinegar))|Chilli paste ((optional))","Combine flour and 1 tsp salt in a bowl, add water in 3 batches, mixing in between with a spoon (see notes for tips on getting the dough right).|Knead for a minute, either in the bowl or on a flour dusted surface, then cover with cling wrap and rest for 10 minutes.|Divide dough into 2 pieces.|Roll out dough thinly into a rectangle should about 1.5ft/50cm x 8""/20cm.|Spray lightly with oil (any oil is fine - except perhaps olive oil), then roll it up starting from the wide end so you have a long roll.|Coil it into a snail shape, push down with your hand and roll out again into the same shape.|Spray again with oil, scatter over the chopped scallions and a pinch of salt. Then roll it up again, starting from the wide end.|Cut the roll in half, and coil each roll.|Repeat with the other ball of dough. You will end up with 4 coils.|Flatten each coil, then roll out into round shapes about 1/3 "" / 0.5 cm thick.|Heat 1 tbsp oil in pan, pan fry for 1 1/2 minutes on the first side, then 1 minute on the other side, pushing down with a spatula if necessary to get it to cook the surface evenly. It should be a dark golden brown colour.|Combine equal parts of soy sauce and black vinegar into a small sauce dish, and add a dollop of Asian chilli paste.",20,10,4,"easy","https://www.recipetineats.com/tachyon/2014/06/DSC_0036-680x680-1.jpg","b0000000-0000-0000-0000-000000000001","https://www.recipetineats.com/scallion-pancakes-shallot-pancakes/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","7b0fce72-5f77-4645-825f-cb42dabfde67","372c1169-f111-4206-bbb8-456b82aa6deb","Mexican Shredded Beef (and Tacos)","australia-mexican-shredded-beef-and-tacos","Recipe video above. This is how I make Mexican Shredded Beef. The sauce is rich, thick and full of flavor, and the beef is very tender and juicy. I use this shredded beef for tacos, burritos, enchiladas, quesadillas and even to make sliders - see in post for list of ideas and directions!&nbsp;","Recipe video above. This is how I make Mexican Shredded Beef. The sauce is rich, thick and full of flavor, and the beef is very tender and juicy. I use this shredded beef for tacos, burritos, enchiladas, quesadillas and even to make sliders - see in post for list of ideas and directions!&nbsp;","1 1/2 tbsp chipotle powder (, adjust spiciness to taste (Note 5))|1 tbsp paprika|1 tbsp dried oregano|1 tsp All Spice powder ((ground All Spice))|1 tsp coriander powder|2 tsp onion powder or garlic powder (OR 1 tsp of each)|1 tsp salt and pepper (, each)|1 - 2 tbsp olive oil|3 lb / 1.5kg   beef chuck or brisket ((or gravy or any other slow cooking beef) cut into 4 pieces)|5  garlic cloves, minced|1  onion (, diced (yellow, brown or white))|3/4 cup (185 ml)  orange juice|2 tbsp lime juice|14 oz / 400g   can crushed tomatoes|2 cups (500 ml)  beef or chicken broth/stock|1/2 cup (125ml)  water|Salt and pepper","Combine the Spice Mix ingredients in a bowl. Sprinkle 4 teaspoons over the beef and pat so it sticks.|Heat the olive oil in a large heavy based pot over high heat. Add the beef (in batches if necessary) and brown well on all sides. Remove onto a plate.|Turn the stove down to medium. If the pot looks dry, add more olive oil.&nbsp;|Add the garlic and onion and cook for 3 minutes until soft.|Add the orange juice and lime juice, and scrape the bottom of the pot so the brown bits mix into the liquid.&nbsp;|Add tomato, beef stock, water and remaining spice mix. Mix, then return beef into pot.|Put the lid on, bring to a simmer then turn the stove down so it is bubbling gently, not rapidly.&nbsp;|Cook for 2 hours, then remove lid and simmer for another 30 minutes until beef is tender enough to shred. (Note 2 other cook methods).|Remove the beef from sauce, shred with 2 forks.&nbsp;|Leave the sauce to simmer with the lid off for 10 to 15 minutes to reduce and thicken to your taste. Adjust salt to taste. Optional: puree with stick blender to make it smooth (I do this for company)|Toss beef back into the sauce (can reserve some Sauce for drizzling on tacos if you want, there's plenty).|Transfer beef into large dish and serve. See notes for suggestions.|To make tacos, serve the beef with warmed small tortillas, avocado slices, Pico de Gallo, shredded cheese, sour cream, lime wedges and extra cilantro/coriander leaves.",20,180,20,"hard","https://www.recipetineats.com/tachyon/2015/09/Mexican-Shredded-Beef_2.jpg","b0000000-0000-0000-0000-000000000002","https://www.recipetineats.com/mexican-shredded-beef-and-tacos/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","43de5712-461f-424b-a162-5dc91da5b6f3","dedb59eb-8872-48bb-ba3b-9a07e1cf1fb6","Ricotta and Spinach Puff Pastry Bites","australia-ricotta-and-spinach-puff-pastry-bites","A cute twist on the typical cheese and spinach triangles. These are great because you get more out of one sheet of puff pastry because the ration of filling to pastry is higher than usual! The shape of these puffs are adapted from Bon Appetit.","A cute twist on the typical cheese and spinach triangles. These are great because you get more out of one sheet of puff pastry because the ration of filling to pastry is higher than usual! The shape of these puffs are adapted from Bon Appetit.","1  egg|7 oz / 200g   ricotta ((preferably full fat but low fat also works) (Note 1))|8 oz / 250g   frozen chopped spinach (, thawed and squeezed of excess water)|3/4 cup grated cheddar cheese ((or tasty or gruyere or any other melting cheese with flavour))|3/4 tsp salt|Black pepper|2  sheets puff pastry ((25cm/10"" square), defrosted)|1  egg (, lightly beaten (egg wash))","Preheat oven to 180C/350F.|Spray 2 standard muffin / cupcake tins with oil.|Place egg in a bowl and lightly whisk. Add remaining Filling ingredients and mix to combine. Taste and adjust salt to taste.|Cut each pastry into 9 equal pieces (18 in total). You probably won't use 3 pieces.|Mould 15 pieces of pastry into the muffin tins.|Divide the Filling between each, then bring the four corners into the centre and press down to stick together. Don't overfill otherwise you won't be able to seal the pastries or they will burst open when baking (which regularly happens with mine).|Brush with egg wash, then bake for 15 to 20 minutes or until deep golden brown.|Allow to rest for 5 minutes before removing.|Serve warm or cool.",10,15,15,"easy","https://www.recipetineats.com/tachyon/2015/04/Cheese-Spinach-Puffs-2_680px.jpg","b0000000-0000-0000-0000-000000000003","https://www.recipetineats.com/spinach-ricotta-puffs/"
"Australia","AU","d0000000-0000-0000-0000-000000000030","c0000000-0000-0000-0000-000000000030","1c0b4c8a-7856-447f-ba50-b94f74454da3","b68c4d33-0007-4c92-8b73-87169d88f222","Garlic White Bean Mash In A Flash","australia-garlic-white-bean-mash-in-a-flash","Sometimes you've just gotta have mash but you simply don't have the energy (or time) to peel, cut, boil and mash potatoes. On such occasions, this Garlic White Bean Mash In A Flash is simply fabulous to satisfy your craving - suitably named because it requires such little effort to make. I made t...","Sometimes you've just gotta have mash but you simply don't have the energy (or time) to peel, cut, boil and mash potatoes. On such occasions, this Garlic White Bean Mash In A Flash is simply fabulous to satisfy your craving - suitably named because it requires such little effort to make. I made this as a side for my Healthy Parmesan Garlic Crumbed Fish to make a complete meal in 15 minutes. This recipe is also great to use as a topping for bruschetta.","1 tbsp extra virgin olive oil|1  garlic clove (, minced)|1 can cannellini beans ((15oz / 420g can), drained)|1/3 cup vegetable stock|1/2  lemon zest ((optional))|Salt and pepper to taste","Heat oil in pan over medium high, add garlic and sauté until fragrant.|Add beans, stock and lemon zest.|Simmer for 2 minutes, then use a fork or potato masher to mash.|Season to taste with salt and pepper.",1,3,2,"easy","https://www.recipetineats.com/tachyon/2014/07/White-Bean-Mash-1.jpg","b0000000-0000-0000-0000-000000000004","https://www.recipetineats.com/garlic-white-bean-mash-flash/"
