country,country_code,cuisine_uuid,profile_uuid,recipe_uuid,post_uuid,title,slug,summary,description,ingredients,instructions,prep_time_minutes,cook_time_minutes,servings,difficulty_level,image_url,approach_id,source_url
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","d51de43a-4cf9-48fd-b9c8-b9d14e185c75","2811db26-96b0-4ce5-9969-bfa9de6ca2a0","Pumpkin Soup - Classic and Easy","new-zealand-pumpkin-soup-classic-and-easy","Recipe VIDEO above. Just a touch of cream adds a hint of luxury to this super easy pumpkin soup! If you don&#39;t have cream, use milk or add a knob of butter. Make this with any type of pumpkin OR butternut squash / butternut pumpkin (same thing!). FLAVOUR VARIATIONS - see list in post above (in...","Recipe VIDEO above. Just a touch of cream adds a hint of luxury to this super easy pumpkin soup! If you don&#39;t have cream, use milk or add a knob of butter. Make this with any type of pumpkin OR butternut squash / butternut pumpkin (same thing!). FLAVOUR VARIATIONS - see list in post above (includes quantities).Don&#39;t forget crusty bread for dunking! (Or up the ante with crusty cheese bread)","1.2 kg / 2.4 lb  pumpkin (any type) ( OR butternut squash, unpeeled weight (Note 1))|1  onion (, sliced (white, brown, yellow))|2  garlic cloves (, peeled whole)|3 cups vegetable or chicken broth/stock (, low sodium)|1 cup water|Salt and pepper|1/2 - 3/4 cup cream (, half and half or milk (Note 2))","Cut the pumpkin into 3cm / 2.25&quot; slices. Cut the skin off and scrape seeds out (video is helpful). Cut into 4cm / 1.5&quot; chunks.|Place the pumpkin, onion, garlic, broth and water in a pot - liquid won&#x27;t quite cover all the pumpkin. Bring to a boil, uncovered, then reduce heat and let simmer rapidly until pumpkin is tender (check with butter knife) - about 10 minutes.|Remove from heat and use a stick blender to blend until smooth (Note 3 for blender).|Season to taste with salt and pepper, stir through cream (never boil soup after adding cream, cream will split).|Ladle soup into bowls, drizzle over a bit of cream, sprinkle with pepper and parsley if desired. Serve with crusty bread!",5,10,4,"easy","https://www.recipetineats.com/tachyon/2017/10/Pumpkin-Soup-2.jpg","b0000000-0000-0000-0000-000000000001","https://www.recipetineats.com/classic-pumpkin-soup/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","b68758bb-6874-474f-834c-51d471321ee6","cd36d263-d49a-4d0a-8462-9bb9ee006788","Anzac Biscuits (Golden Oatmeal Cookies)","new-zealand-anzac-biscuits-golden-oatmeal-cookies","Recipe video above. The great Aussie Anzac biscuits!! Crispy on the outside, a little chewy in the middle, buttery, with a beautiful deep golden colour with a toffee flavour. They will stay crispy on the edges for a week and though they will soften, still fresh for another week. Re-crisp with a q...","Recipe video above. The great Aussie Anzac biscuits!! Crispy on the outside, a little chewy in the middle, buttery, with a beautiful deep golden colour with a toffee flavour. They will stay crispy on the edges for a week and though they will soften, still fresh for another week. Re-crisp with a quick blast in the oven!Sweetness - Some readers have commented they find these too sweet. I really don&#39;t find them too sweet, I was not brought up with very sugary desserts. If you reduce sugar, you will lose crispiness and the cookie will be more crumbly ie texture not as Anzac biscuits are intended to be!","1 cup plain flour ((all purpose flour))|1 cup rolled oats|1 cup desiccated coconut (, unsweetened)|3/4 cup white sugar (, preferably caster / superfine)|150g / 5oz  unsalted butter|4 tbsp golden syrup ((Note 1))|1 tsp baking soda ((bicarbonate soda))","Preheat oven to 180°C/350°F (160°C fan forced)|Line 2 baking trays with baking paper.|Mix dry: Mix flour, oats, coconut and sugar in a bowl.|Melt butter and  golden syrup: Place butter and golden syrup in a saucepan over medium high heat and stir until butter has melted.|Baking soda: Add baking soda and stir to combine - it will fizz up, this is normal. Immediately remove from heat.|Biscuit dough - Pour butter mixture into flour and mix until just combined. The mixture will be crumbly but should stick when you press together.|Form patties - Scrunch / press 1 tablespoon of the mixture into balls, then flatten into patties. (Thinner = crisper, thicker = chewier centre, crispy edges) Place balls, 2.5 cm/1&quot; apart, on prepared trays.|Bake for 15 minutes, swapping trays halfway during cooking, or until deep golden. (Bake 12 min for chewy biscuits!)|Cool to crisp - Stand on trays for 5 minutes. Transfer to a wire rack to cool - they harden as they cool!",15,15,16,"easy","https://www.recipetineats.com/tachyon/2019/04/Anzac-Biscuits_7-SQ.jpg","b0000000-0000-0000-0000-000000000002","https://www.recipetineats.com/anzac-biscuits-golden-oatmeal-cookies/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","4e8c9d8e-fc06-4631-bdbe-7108945a7332","7e9d7632-a76d-4db5-8e0f-e6a40bef14c0","Pavlova!!","new-zealand-pavlova","Recipe video above. A classic Aussie Pav recipe with my tips that make all the difference, especially during hot humid summers which make Pavs prone to collapsing during or after baking. Top your Pav with whatever fruit you want!&nbsp;","Recipe video above. A classic Aussie Pav recipe with my tips that make all the difference, especially during hot humid summers which make Pavs prone to collapsing during or after baking. Top your Pav with whatever fruit you want!&nbsp;","150 ml / 5 oz  egg whites ((4-5 eggs fridge cold eggs) (Note 1))|1 cup caster sugar ((superfine sugar))|1 tbsp cornflour / cornstarch, sifted|1 tsp white vinegar|1 1/2 cups thickened cream / heavy cream (any whipping cream)|1/4 cup caster sugar (superfine sugar)|1 tsp vanilla extract or essence|Fruit of choice. I used: raspberries, blueberries, strawberries and cherries.","Separate the whites and yolks while eggs are cold. Measure 150 ml/5oz egg whites (just shy of 2/3 cup, 140 - 160ml is ok).|Set whites aside to come to room temperature.|Preheat oven to 170°C/340°F (180°C fan-forced).|Place whites in a bowl. Use a stand mixer (I use speed 7) or handheld beater (high) and beat until soft peaks form (Note 2)|Add sugar 1 tbsp at a time, beating as you go. (Note 3)|After adding the sugar, beat for a further 3 minutes or until thick and glossy. Rub a little of the fluff between your fingers, there should be no sugar grit - that means it is ready.|Add cornflour and vinegar, beat on low for 5 - 7 seconds (or fold through with spatula) until just mixed through.|Get the base of a springform cake pan (24cm/9.5"" or larger) and turn it upside down. Dab meringue on the edge and place a piece of baking paper (parchment paper) on top.|Gently place half the fluff onto the paper. Use the cake pan as a guide to make it round and coax it into a circle shape around 20cm / 8"" in diameter (Note 5).|Carefully scoop out the remaining fluff. Now coax it into a dome shape (not a cake with straight smooth sides) with edges sloping in slightly. Flatten top. Make it 4-5cm / 2 "" high - not much higher. (Note 5). See video / photos in post. It will rise/expand.|Transfer to baking tray. CAREFULLY place in the oven, GENTLY close the door and turn oven DOWN to 115°C/240°F (100°C fan).|Bake for 1 1/2 hours - no peeking, no thundering through kitchen! (Note 6)|Turn oven off, leave the door closed and leave Pav in the oven overnight to cool (I've done 18 hours).|Transfer Pav to serving platter then slide cake pan out from underneath. Use butter knife if required to loosen edges from paper, then slide paper out from underneath.|Just before serving, top with cream and fruit of choice.|Serve and be a rock star!|Place cream, sugar and vanilla in a bowl. Beat cream until it is thickened and just holds its shape - don't overbeat, it should be silky smooth, not speckled with bubbles and stiff.",10,90,10,"hard","https://www.recipetineats.com/tachyon/2016/12/Pavlova-4-copy.jpg","b0000000-0000-0000-0000-000000000003","https://www.recipetineats.com/pavlova-recipe/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","502aca3f-a312-4b09-bbd3-f77183aa5aa1","5231257f-c931-469d-99ad-ed98df9b0c48","Thai Coconut Pumpkin Soup","new-zealand-thai-coconut-pumpkin-soup","Recipe video above. This is a brilliant way to turn a classic pumpkin soup into something that tastes more exotic - with very little effort. Think -  pumpkin soup with Thai Red Curry vibes. It&#39;s so good!See separate tutorial for how I cut butternut pumpkin and the Pumpkin Soup recipe for how ...","Recipe video above. This is a brilliant way to turn a classic pumpkin soup into something that tastes more exotic - with very little effort. Think -  pumpkin soup with Thai Red Curry vibes. It&#39;s so good!See separate tutorial for how I cut butternut pumpkin and the Pumpkin Soup recipe for how I cut pumpkin.","2 tbsp vegetable oil ((or other oil))|1  brown onion (, diced)|2  garlic cloves (, finely minced)|3 tbsp Thai red curry paste (, Maesri recommended (Note 1))|1.8kg/ 3.6 lb  pumpkin or butternut squash ( - peeled, deseeded then chopped into 3cm / 1.2&quot; chunks (~1.3 kg/2.6 lb) (Note 2))|2 1/2 cups vegetable stock (, salt reduced (or chicken stock))|400ml/ 14 oz (1 can) coconut milk,  (full fat, best quality (Note 3))|1 tbsp fish sauce ((sub light or regular soy sauce, Note 4))|Crispy Asian shallots (, highly recommended (Note 5))|Red cayenne pepper (, finely sliced)|Fresh coriander leaves|Roti ((the flaky kind), frozen, pan fried - for dunking (SO GOOD!) - Note 6)","Sauté - Heat oil in a large heavy based pot over medium high heat. Add onion and garlic, cook for 2 minutes until soft.|Add curry paste and cook for 2 minutes.|Add pumpkin and stir to coat in the flavours for around 2 minutes.|Simmer 8 minutes - Set aside 1/4 cup coconut milk for garnish. Add stock, remaining coconut milk and fish sauce. Bring to simmer then reduce heat to medium and simmer for 8 minutes until the pumpkin is soft.|Blitz using stick blender until smooth.|Serve topped with garnishes. Dunk in roti. Enjoy!",10,15,5,"easy","https://www.recipetineats.com/tachyon/2023/08/Thai-Coconut-Pumpkin-Soup_2.jpg","b0000000-0000-0000-0000-000000000004","https://www.recipetineats.com/thai-coconut-pumpkin-soup/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","63174ebf-1886-42c5-9923-c48e25234de2","656be6e3-98c2-42bd-9716-a824660df32d","Lamingtons","new-zealand-lamingtons","Recipe video above. There is no cake more Australian than the Lamington! The sponge in this recipe is buttery and moist, generously coated in chocolate and coconut. Sandwiching with jam and cream is optional - takes it over the top, but it's great without. KEY TIP: Freeze the sponge before coatin...","Recipe video above. There is no cake more Australian than the Lamington! The sponge in this recipe is buttery and moist, generously coated in chocolate and coconut. Sandwiching with jam and cream is optional - takes it over the top, but it's great without. KEY TIP: Freeze the sponge before coating - read Note 2.&nbsp;","125 g / 4.5 oz   unsalted butter (, softened)|1 cup (220g)  caster sugar|1/2 tsp vanilla extract|3  eggs (, room temperature)|1 3/4 cups (260g)  flour (, plain/all purpose, sifted (Note 1))|3.5 tsp baking powder|1/2 cup (125 ml)  milk ((low or full fat))|4 cups (480g)  icing sugar ((confectionary sugar), sifted)|1/3 cup (22g)  cocoa powder|1 tbsp (15g)  unsalted butter|150ml (1/2 cup + 2 tbsp)  boiling water|3 - 4 cups desiccated coconut|Strawberry jam|1 cup (250 ml)  cream|1 tbsp white sugar","Preheat oven to 180C/350F (or fan forced 160C/320F).|Sift flour and baking powder together.|Grease a 20 cm x 30 cm / 8"" x 12"" cake pan. Line with baking paper (parchment paper), leaving an overhang on all sides (to make it easy to remove).|Beat butter, sugar and vanilla with an electric mixer on medium high speed until light and fluffy - about 1 1/2 to 2 minutes.|Add eggs 1 at a time, beating well after each addition so the batter is smooth, not curdled.|Add half the flour and gently fold to combine, then stir in half the milk. Repeat with remaining flour and milk.|Pour the batter into the prepared pan and bake for 25 minutes until a skewer inserted into the centre comes out clean.|Stand for 5 minutes then use the overhang baking paper to lift the cake out onto a wire rack and cool completely.&nbsp;|Cut cake into 15 squares (5 x 3), or 18 rectangles. Freeze for 1 to 1.5 hours. (Note 2)|Combine the Icing ingredients in a heat proof bowl and mix until smooth. Should be a syrup consistency, but not watery. (Note 2)|Place coconut in a shallow bowl or pan with a largish surface area (Note 3).|Place a piece of cake in the icing and roll to coat using 2 forks. Transfer it into the coconut and quickly roll to coat all over in coconut. Transfer to tray.|Repeat with remaining sponges.&nbsp;|Stand for 1 to 2 hours, or until set. Then serve with tea and coffee!|Beat cream and sugar until firm peaks form.|Cut coated Lamington in half horizontally. Spread with jam then pipe or dollop on cream. Top with lid, keep refrigerated.",40,25,15,"medium","https://www.recipetineats.com/tachyon/2019/01/Lamingtons_7.jpg","b0000000-0000-0000-0000-000000000005","https://www.recipetineats.com/classic-lamingtons/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","fa33d825-fc1a-41af-8e77-33c0e2e64d3c","9582072e-df63-47e3-822f-e45a05380550","Rhubarb & custard pavlova","new-zealand-rhubarb-custard-pavlova","Use the classic combo of rhubarb and custard in a meringue showstopper — serve at a barbecue or summer dinner party","Use the classic combo of rhubarb and custard in a meringue showstopper — serve at a barbecue or summer dinner party","6 large egg whites around 215g (reserve 2 egg yolks for the custard, below)|¼ tsp cream of tartar|360g caster sugar|2 tsp  white wine vinegar|2 tsp  cornflour|1 tsp  vanilla paste|180ml whole milk|½ tsp  vanilla bean paste|30g caster sugar|1 tbsp  cornflour|2 large egg yolks (use the whites for the meringue)|300ml double cream|350g  rhubarb trimmed and cut into 5cm pieces|30g caster sugar|1 tsp vanilla paste|strip of orange zest|squeeze of orange juice","First, make the custard. Pour the milk into a small saucepan and add the vanilla. Set over a medium heat and bring to a gentle simmer, around 4-5 mins. Meanwhile, whisk together the sugar, cornflour, egg yolks and a pinch salt in a large bowl until smooth and pale. Slowly pour the hot milk into the egg yolks, just a splash at a time, whisking well after each addition. Return the mixture to the saucepan and set over a medium heat. Cook, stirring frequently, for 8-12 mins until it thickens and coats the back of a wooden spoon. Transfer to a container and leave to cool, then leave to thicken in the fridge overnight. Will keep chilled for two days.|Heat the oven to 150C/130C fan/gas 2. To make the meringue, tip the egg whites and cream of tartar into the bowl of a stand mixer fitted with the whisk attachment. Whisk on medium speed for 3-5 mins until you have soft peaks.|With the mixer speed still on medium, add the sugar 1 tbsp at a time. Increase the speed and whisk for 12-15 mins until the meringue is stiff and glossy. Mix the vinegar, cornflour and vanilla in a cup until smooth, then whisk the mixture into the meringue until fully incorporated, around 1-2 mins.|Spoon the meringue onto a baking sheet lined with baking parchment, creating a high mound, then smooth into a high dome 23cm wide and flatten the top. Bake the meringue for 10 mins, then lower the temperature to 140C/120C fan/gas 1 and bake for a further 1 hr 30 mins. Turn off the oven and leave the meringue in the oven overnight, with the oven door closed.|To poach the rhubarb, put it in a saucepan with the sugar, vanilla, orange zest and 125ml water. Set over a medium heat, until the sugar has dissolved, around 1-2 mins. Once dissolved, cook for 4-5 mins, then remove from the heat and cover with a lid for 5 mins. Use a slotted spoon to remove the rhubarb and transfer to a heatproof container. Then, boil down the liquid for 5 mins until it turns into a more concentrated syrup and pour over the rhubarb. Store in the fridge, ideally overnight until ready to serve.|When ready to serve, whisk the double cream until thickened and holding its shape. Whisk in the cold custard and spoon over the top of the meringue. Scatter over the poached rhubarb and drizzle over the syrup. Serve straightaway.",20,90,10,"hard","https://images.immediate.co.uk/production/volatile/sites/30/2025/06/Rhuabrb-custard-pavlova-4766f22.jpg?resize=768,845","b0000000-0000-0000-0000-000000000006","https://www.bbcgoodfood.com/recipes/rhubarb-custard-pavlova"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","3d1ef2d9-d3a9-45b7-bf08-689ef9ac694c","0e345612-4ffa-489f-989d-672d68f88409","Honey Mustard Chicken","new-zealand-honey-mustard-chicken","This is a homemade version of the popular Honey Mustard simmer sauces sold at supermarkets. The Honey Mustard Sauce is slightly tangy, sweet and beautifully creamy. Great for chicken, pork, turkey and fish. **ADJUST SERVINGS by using the slider!**","This is a homemade version of the popular Honey Mustard simmer sauces sold at supermarkets. The Honey Mustard Sauce is slightly tangy, sweet and beautifully creamy. Great for chicken, pork, turkey and fish. **ADJUST SERVINGS by using the slider!**","700 g / 1.4 lb  chicken tenderloin or chicken breast cut into thick strips ((Note 1))|Salt and pepper|2 tbsp flour|1 tsp garlic powder|1 tbsp mayonnaise ((Note 3))|1 tsp cornstarch / cornflour or 2 tsp flour|1 1/2 tbsp + 1/2 tbsp  olive oil|2 cloves garlic (minced)|1 cup chicken broth / stock ((250ml))|1/4 cup Dijon mustard ((70g))|1/4 cup honey ((85g))|1 - 2 tbsp wholegrain mustard, adjust to taste|2 tsp sprigs thyme or 1/2 dried thyme ((Note 4))|Fresh parsley, finely chopped","Sprinkle chicken with salt and pepper, then toss with Seasoning if using.|Thickener: In a small bowl, mix together the mayonnaise and flour.|Heat 1 1/2 tbsp oil in a skillet over medium high heat. Add chicken and cook for 2 minutes on each side or until golden. Remove onto a plate.|Reduce heat to medium. Add remaining oil in the middle of the skillet and put garlic straight onto the puddle of oil. Sauté for 20 seconds or until golden (don't let it burn).|Add chicken broth, bring to simmer, scraping the bottom of the fry pan.|Whisk in Dijon Mustard and honey, then whisk in Thickener (make sure you scrape it all in).|Add thyme and wholegrain mustard, if using.|Cook for 1 - 2 minutes or until starting to thicken. Adjust salt and pepper to taste.|Return chicken and any juices pooled on the plate into the sauce. Turn to coat and reheat through - about 1 1/2 minutes - or until sauce is thickened to your taste.|Serve on mashed potato, garnished with parsley, with a simple side salad.",7,10,4,"easy","https://www.recipetineats.com/tachyon/2016/08/Honey-Mustard-Chicken_3.jpg","b0000000-0000-0000-0000-000000000001","https://www.recipetineats.com/honey-mustard-chicken/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","8626fb0f-3bcd-4afe-9d8c-8058fc091efa","c782e4d4-83de-4198-85bd-e9cf4c09b8ed","Chicken Shawarma (Middle Eastern)","new-zealand-chicken-shawarma-middle-eastern","Recipe video above. The smell when this is cooking is outrageous! The marinade is very quick to prepare and the chicken can be frozen in the marinade, then defrosted prior to cooking. Best cooked on the outdoor grill / BBQ, but I usually make it on the stove. Serve with Yogurt Sauce (provided) or...","Recipe video above. The smell when this is cooking is outrageous! The marinade is very quick to prepare and the chicken can be frozen in the marinade, then defrosted prior to cooking. Best cooked on the outdoor grill / BBQ, but I usually make it on the stove. Serve with Yogurt Sauce (provided) or the Tahini sauce in this recipe. Add a simple salad and flatbread laid out on a large platter, then let everyone make their own wraps!","1 kg / 2 lb  chicken thigh fillets (, skinless and boneless (Note 3))|1  large garlic clove (, minced (or 2 small cloves))|1 tbsp ground coriander|1 tbsp ground cumin|1 tbsp ground cardamon|1 tsp ground cayenne pepper ((reduce to 1/2 tsp to make it not spicy))|2 tsp smoked paprika|2 tsp salt|Black pepper|2 tbsp lemon juice|3 tbsp olive oil|1 cup Greek yoghurt|1 clove garlic (, crushed)|1 tsp cumin|Squeeze of lemon juice|Salt and pepper|4 - 5 flatbreads ((Lebanese or pita bread orhomemade soft flatbreads))|Sliced lettuce ((cos or iceberg))|Tomato slices|Red onion (, finely sliced)|Cheese (, shredded (optional))|Hot sauce of choice ((optional))","Marinade chicken - Combine the marinade ingredients in a large ziplock bag. Add the chicken, seal, the massage from the outside with your hands to make sure each piece is coated. Marinate 24 hours (minimum 3 hours).|Yogurt Sauce - Combine the Yogurt Sauce ingredients in a bowl and mix. Cover and put in the fridge until required (it will last for 3 days in the fridge).|Preheat stove or BBQ - Heat a large non-stick skillet with 1 tablespoon over medium high heat, or lightly brush a BBQ hotplate/grills with oil and heat to medium high. (See notes for baking)|Cook chicken - Place chicken in the skillet or on the grill and cook the first side for 4 to 5 minutes until nicely charred. Turn and cook the other side for 3 to 4 minutes (the 2nd side takes less time).|Rest - Remove chicken from the grill and cover loosely with foil. Set aside to rest for 5 minutes.|Slice chicken and pile onto platter alongside flatbreads, Salad and the Yoghurt Sauce (or dairy free Tahini sauce from this recipe).|To make a wrap, get a piece of flatbread and smear with Yoghurt Sauce. Top with a bit of lettuce and tomato and Chicken Shawarma. Roll up and enjoy!",10,10,4,"easy","https://www.recipetineats.com/tachyon/2022/02/Chicken-Shawarma-Wrap_2-SQ.jpg","b0000000-0000-0000-0000-000000000002","https://www.recipetineats.com/chicken-sharwama-middle-eastern/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","2e531dcf-3b38-404d-9526-9f7574fea3bd","82efb218-6974-47cc-a1ef-90d1bf3d77f5","Meatloaf Cupcakes With Mashed Potato","new-zealand-meatloaf-cupcakes-with-mashed-potato","Everything tastes better in miniature form! These Meatloaf Cupcakes are made extra irresistible by piling on mashed potato. These freeze very well. They are also great for hiding vegetables. I only added grated carrot, but you can mix in whatever vegetables you want. Finely chopped spinach or cab...","Everything tastes better in miniature form! These Meatloaf Cupcakes are made extra irresistible by piling on mashed potato. These freeze very well. They are also great for hiding vegetables. I only added grated carrot, but you can mix in whatever vegetables you want. Finely chopped spinach or cabbage would blend in well, as would grated zucchini.","1 lb / 500g   beef mince ((ground beef))|1  onion (, grated (brown, white or yellow))|2  small carrots (, grated)|2  eggs|1/4 cup grated parmesan cheese|1/4 cup tomato ketchup ((or tomato sauce))|1 cup panko ((or breadcrumbs))|1 tsp garlic powder|1 tsp dried oregano|1 tsp dried thyme|1 tsp salt|Pepper|2 large or 3 medium   potatoes|1 tbsp butter ((optional))|1/2 - 1 cup milk|Tomato ketchup or sauce|Parsley (, finely chopped (optional))","Preheat oven to 180C/350F.|Spray 8 holes of a muffin tin.|Grate the onion and carrot straight into a large bowl.|Add remaining meatloaf ingredients and use your hands to mix and combine well.|Scoop up 1/2 cup of mince and use your hands to form a rough ball shape. Press into the muffin tin. The surface should be a slight dome shape.|Repeat with remaining mince. It should make about 8.|Bake for 20 - 25 minutes until browned on top. Remove from oven.|Peel and dice the potato. Steam or boil until soft but not waterlogged.|Drain, then add butter and 1/2 cup of milk. Mash using a potato masher until smooth or to your liking. Add extra milk if you need it. The mash needs to be creamy but stiff enough to hold its shape when piped or piled onto the Meatloaf Cupcakes.|Smear a dollop of tomato ketchup on the Meatloaf Cupcakes.|Top with mashed potato, either by piping it or just dolloping it on with a spoon.|Serve with a sprinkle of parsley, if using.",15,25,8,"medium","https://www.recipetineats.com/tachyon/2014/10/Meatloaf-Cupcakes-1.jpg","b0000000-0000-0000-0000-000000000003","https://www.recipetineats.com/meatloaf-cupcakes-mashed-potato/"
"New Zealand","NZ","d0000000-0000-0000-0000-000000000031","c0000000-0000-0000-0000-000000000031","d8faa41f-530e-4a55-b438-51204765d1e9","2717806b-9873-4f30-896b-b3a1f56849fc","Spring Roll recipe","new-zealand-spring-roll-recipe","Recipe video above. Everybody's favourite Spring Rolls, made at home!&nbsp;Nothing like the ones at suburban Chinese takeout joints with unidentifiable mushy fillings and overly greasy. These are shatteringly crisp and golden, just like they should be, and you will actually be able to taste the f...","Recipe video above. Everybody's favourite Spring Rolls, made at home!&nbsp;Nothing like the ones at suburban Chinese takeout joints with unidentifiable mushy fillings and overly greasy. These are shatteringly crisp and golden, just like they should be, and you will actually be able to taste the filling!","1 tbsp oil|2  garlic cloves (, finely chopped or minced)|400 g / 13 oz   pork mince ((ground pork), or chicken or turkey)|6  dried shiitake mushrooms soaked in boiling water OR 8 fresh ((Note 1))|1 1/2 cups shredded carrot ((1 large or 2 small))|1 1/2 cups (heaped) bean sprouts|1 1/2 cups (packed) shredded green cabbage ((any type is fine))|1 tsp cornflour / cornstarch|1 1/2 tbsp Oyster Sauce|2 tsp soy sauce ((light or all purpose is best, dark is also ok))|15 – 20  spring roll wrappers, defrosted (21.5 cm / 8” squares) OR 35 - 40 small spring roll wrappers (Note 2), or Egg Roll wrappers to make Egg Rolls (Note 6)|2 tsp cornflour (for sealing rolls)|1 tbsp water (for sealing rolls)|Oil for frying (I use vegetable) OR oil spray for baking (I use canola)|2 tsp cornflour/ cornstarch|2 tbsp water|½ cup apple cider vinegar|1/3 cup brown sugar ((adjust to taste))|2 tbsp tomato ketchup|2 tsp soy sauce","Heat oil in a skillet or wok over high heat. Add garlic, stir quickly, then add pork. Cook, breaking it up as you go, until it turns white.|Add carrot, bean sprouts, cabbage and mushrooms. Cook for 3 minutes or until vegetables are wilted. Add cornflour, soy sauce and Oyster sauce, cook for 1 minute until the liquid is gone. The Filling should not be watery, it should be kind of sticky (watery filling = soggy spring rolls = ?&nbsp;).|Cool Filling (super speedy: spread on tray, refrigerate 5 minutes). (Hot filling = spring rolls burst open = ? )|Mix cornflour and water in a small bowl (for sealing the rolls).|Carefully peel off one spring roll wrapper, keep the others covered under a damp tea towel.|Place the wrapper with the SMOOTH SIDE DOWN (Note 3) in a diamond position. Place a very heaped dessert spoon of filling on the bottom. Roll up halfway, fold sides in, then finish rolling. Use cornflour sludge to seal. (Watch VIDEO below). They should be about 12 cm / 5"" long, 2.5cm / 1"" wide once wrapped.|Pour enough oil in a wok or large saucepan (Note 4) so it is double the height of the spring rolls. Heat on medium high until hot - stick a bamboo chopstick or wooden spoon handle in, if rapid bubbles appear, then it's hot enough.|Carefully place spring rolls in the oil (about 4 - 5 at a time) and cook, turning occasionally, until deep golden - around 1 1/2 - 2 minutes. Transfer to paper towels to drain.|Repeat with remaining spring rolls. Serve while hot with Sweet and Sour Sauce!|Place spring rolls on a rack and place the rack on a tray. Spray very generously with oil all over (use canola or other natural oil). Bake at 200C/400F (standard) or 180C/350F (fan / convection) for 20 to 25 minutes until golden and crispy - no need to turn.|Combine ingredients in a small saucepan over medium heat. Bring to simmer, stirring regularly, then simmer until it thickens to taste (about 3 - 5 minutes).",20,10,15,"easy","https://www.recipetineats.com/tachyon/2017/09/Spring-Rolls-4.jpg","b0000000-0000-0000-0000-000000000004","https://www.recipetineats.com/spring-rolls/"
